project,contact,paper,link,projectWebsite
Advanced Combinatorial Testing System (ACTS) | | | http://barbie.uta.edu/~fduan/ACTS/ 
Locating Faults based on Combinatorial Testing | | | http://barbie.uta.edu/~jxu/Fault%20Localization.htm
Stress Testing for Concurrent Programs| | | http://barbie.uta.edu/~jxu/Stress%20testing.htm
Modeling Methodology for Warehouse-Scale Computing| | | http://barbie.uta.edu/~jxu/Stress%20testing.htm
Input Parameter Modeling| | | http://barbie.uta.edu/~mehra/
Big Data Software Engineering| Huadong Feng (Jack) | | http://barbie.uta.edu/~hdfeng/bigdata/bigdata.html
